item_id,name,category,effect,sprite
23,full-restore,healing,"Used on a party Pokémon
:   Restores HP to full and cures any status ailment and confusion.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/full-restore.png
24,max-potion,healing,"Used on a party Pokémon
:   Restores HP to full.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-potion.png
25,hyper-potion,healing,"Used on a party Pokémon
:   Restores 200 HP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hyper-potion.png
26,super-potion,healing,"Used on a party Pokémon
:   Restores 50 HP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/super-potion.png
27,full-heal,status-cures,"Used on a party Pokémon
:   Cures any status ailment and confusion.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/full-heal.png
28,revive,revival,"Used on a party Pokémon
:   Revives the Pokémon and restores half its HP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/revive.png
29,max-revive,revival,"Used on a party Pokémon
:   Revives the Pokémon and restores its HP to full.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-revive.png
30,fresh-water,healing,"Used on a party Pokémon
:   Restores 50 HP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fresh-water.png
31,soda-pop,healing,"Used on a party Pokémon
:   Restores 60 HP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/soda-pop.png
32,lemonade,healing,"Used on a party Pokémon
:   Restores 80 HP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lemonade.png
33,moomoo-milk,healing,"Used on a party Pokémon
:   Restores 100 HP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/moomoo-milk.png
34,energy-powder,healing,"Used on a party Pokémon
:   Restores 50 HP.  Decreases happiness by 5/5/10.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/energy-powder.png
35,energy-root,healing,"Used on a party Pokémon
:   Restores 200 HP.  Decreases happiness by 10/10/15.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/energy-root.png
36,heal-powder,status-cures,"Used on a party Pokémon
:   Cures any status ailment.  Decreases happiness by 5/5/10.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heal-powder.png
37,revival-herb,revival,"Used on a party Pokémon
:   Revives a fainted Pokémon and restores its HP to full.  Decreases happiness by 10/10/15.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/revival-herb.png
38,ether,pp-recovery,"Used on a party Pokémon
:   Restores 10 PP for a selected move.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ether.png
39,max-ether,pp-recovery,"Used on a party Pokémon
:   Restores PP to full for a selected move.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-ether.png
40,elixir,pp-recovery,"Used on a party Pokémon
:   Restores 10 PP for each move.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/elixir.png
41,max-elixir,pp-recovery,"Used on a party Pokémon
:   Restores PP to full for each move.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-elixir.png
42,lava-cookie,status-cures,"Used on a party Pokémon
:   Cures any status ailment and confusion.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lava-cookie.png
43,berry-juice,healing,"Used on a party Pokémon
:   Restores 20 HP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/berry-juice.png
44,sacred-ash,revival,"Used
:   Revives all fainted Pokémon in the party and restores their HP to full.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sacred-ash.png
45,hp-up,vitamins,"Used on a party Pokémon
:   Increases HP effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hp-up.png
46,protein,vitamins,"Used on a party Pokémon
:   Increases Attack effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/protein.png
47,iron,vitamins,"Used on a party Pokémon
:   Increases Defense effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/iron.png
48,carbos,vitamins,"Used on a party Pokémon
:   Increases Speed effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/carbos.png
49,calcium,vitamins,"Used on a party Pokémon
:   Increases Special Attack effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/calcium.png
50,rare-candy,vitamins,"Used on a party Pokémon
:   Increases level by 1.  Increases happiness by 5/3/2.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rare-candy.png
51,pp-up,vitamins,"Used on a party Pokémon
:   Increases a selected move’s max PP by 20% its original max PP, to a maximum of 1.6×.  Increases happiness by 5/3/2.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pp-up.png
52,zinc,vitamins,"Used on a party Pokémon
:   Increases Special Defense effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/zinc.png
53,pp-max,vitamins,"Used on a party Pokémon
:   Increases a selected move’s max PP to 1.6× its original max PP.  Increases happiness by 5/3/2.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pp-max.png
54,old-gateau,status-cures,"Used on a party Pokémon
:   Cures any status ailment and confusion.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/old-gateau.png
55,guard-spec,stat-boosts,"Used on a party Pokémon in battle
:   Protects the target’s stats from being lowered for the next five turns.  Increases happiness by 1/1/0.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/guard-spec.png
56,dire-hit,stat-boosts,"Used on a party Pokémon in battle
:   Increases the target’s critical hit chance by one stage until it leaves the field.  Increases happiness by 1/1/0.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dire-hit.png
57,x-attack,stat-boosts,"Used on a party Pokémon in battle
:   Raises the target’s Attack by one stage.  Increases happiness by 1/1/0.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-attack.png
58,x-defense,stat-boosts,"Used on a party Pokémon in battle
:   Raises the target’s Defense by one stage.  Increases happiness by 1/1/0.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-defense.png
59,x-speed,stat-boosts,"Used on a party Pokémon in battle
:   Raises the target’s Speed by one stage.  Increases happiness by 1/1/0.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-speed.png
60,x-accuracy,stat-boosts,"Used on a party Pokémon in battle
:   Raises the target’s accuracy by one stage.  Increases happiness by 1/1/0.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-accuracy.png
61,x-sp-atk,stat-boosts,"Used on a party Pokémon in battle
:   Raises the target’s Special Attack by one stage.  Increases happiness by 1/1/0.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-sp-atk.png
62,x-sp-def,stat-boosts,"Used on a party Pokémon in battle
:   Raises the target’s Special Defense by one stage.  Increases happiness by 1/1/0.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/x-sp-def.png
63,poke-doll,spelunking,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poke-doll.png
64,fluffy-tail,spelunking,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fluffy-tail.png
65,blue-flute,flutes,"Used on a party Pokémon
:   Cures sleep.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-flute.png
66,yellow-flute,flutes,"Used on a party Pokémon in battle
:   Cures confusion.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yellow-flute.png
67,red-flute,flutes,"Used on a party Pokémon in battle
:   Cures attraction.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-flute.png
68,black-flute,spelunking,"Used outside of battle
:   Decreases the wild Pokémon encounter rate by 50%.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-flute.png
69,white-flute,spelunking,"Used outside of battle
:   Doubles the wild Pokémon encounter rate.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/white-flute.png
70,shoal-salt,collectibles,No effect.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shoal-salt.png
71,shoal-shell,collectibles,No effect.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shoal-shell.png
72,red-shard,collectibles,"No effect.

In Diamond and Pearl, trade ten for a sunny day TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a cheri berry, a leppa berry, and a pecha berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a persim berry, a pomeg berry, and a razz berry with the Juggler near the pal park entrance in fuchsia city.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-shard.png
73,blue-shard,collectibles,"No effect.

In Diamond and Pearl, trade ten for a rain dance TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a chesto berry, an oran berry, and a wiki berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a bluk berry, a cornn berry, and a kelpsy berry with the Juggler near the pal park entrance in fuchsia city.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-shard.png
74,yellow-shard,collectibles,"No effect.

In Diamond and Pearl, trade ten for a sandstorm TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an aspear berry, a iapapa berry, and a sitrus berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a grepa berry, a nomel berry, and a pinap berry with the Juggler near the pal park entrance in fuchsia city.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yellow-shard.png
75,green-shard,collectibles,"No effect.

In Diamond and Pearl, trade ten for a hail TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an aguav berry, a lum berry, and a rawst berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a durin berry, a hondew berry, and a wepear berry with the Juggler near the pal park entrance in fuchsia city.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/green-shard.png
76,super-repel,spelunking,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 200 steps.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/super-repel.png
77,max-repel,spelunking,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 250 steps.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-repel.png
78,escape-rope,spelunking,"Used outside of battle
:   Transports the trainer to the last-entered dungeon entrance.  Cannot be used outside, in buildings, or in distortion world, sinnoh hall of origin 1, spear pillar, or turnback cave.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/escape-rope.png
79,repel,spelunking,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 100 steps.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/repel.png
80,sun-stone,evolution,"Used on a party Pokémon
:   Evolves a cottonee into whimsicott, a gloom into bellossom, a petilil into lilligant, or a sunkern into sunflora.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sun-stone.png
81,moon-stone,evolution,"Used on a party Pokémon
:   Evolves a clefairy into clefable, a jigglypuff into wigglytuff, a munna into musharna, a nidorina into nidoqueen, a nidorino into nidoking, or a skitty into delcatty.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/moon-stone.png
82,fire-stone,evolution,"Used on a party Pokémon
:   Evolves an eevee into flareon, a growlithe into arcanine, a pansear into simisear, or a vulpix into ninetales.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fire-stone.png
83,thunder-stone,evolution,"Used on a party Pokémon
:   Evolves an eelektrik into eelektross, an eevee into jolteon, or a pikachu into raichu.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/thunder-stone.png
84,water-stone,evolution,"Used on a party Pokémon
:   Evolves an eevee into vaporeon, a lombre into ludicolo, a panpour into simipour, a poliwhirl into poliwrath, a shellder into cloyster, or a staryu into starmie.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/water-stone.png
85,leaf-stone,evolution,"Used on a party Pokémon
:   Evolves an exeggcute into exeggutor, a gloom into vileplume, a nuzleaf into shiftry, a pansage into simisage, or a weepinbell into victreebel.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/leaf-stone.png
86,tiny-mushroom,loot,Vendor trash.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tiny-mushroom.png
87,big-mushroom,loot,Vendor trash.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-mushroom.png
88,pearl,loot,Vendor trash.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pearl.png
89,big-pearl,loot,Vendor trash.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-pearl.png
90,stardust,loot,Vendor trash.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/stardust.png
91,star-piece,loot,Vendor trash.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/star-piece.png
92,nugget,loot,Vendor trash.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/nugget.png
93,heart-scale,collectibles,Trade one to the Move Relearner near the shore in pastoria city or with the Move Deleter in blackthorn city to teach one party Pokémon a prior level-up move.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heart-scale.png
94,honey,dex-completion,"Used outside of battle
:   Immediately triggers a wild Pokémon battle, as long as the trainer is somewhere with wild Pokémon—i.e., in tall grass, in a cave, or surfing.

Can be smeared on sweet-smelling trees to attract tree-dwelling Pokémon after six hours.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/honey.png
95,growth-mulch,mulch,"Used on a patch of soil
:   Plant’s growth stages will each last 25% less time.  Dries soil out more quickly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/growth-mulch.png
96,damp-mulch,mulch,"Used on a patch of soil
:   Plant’s growth stages will each last 25% more time.  Dries soil out more slowly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/damp-mulch.png
97,stable-mulch,mulch,"Used on a patch of soil
:   Fully-grown plant will last 25% longer before dying and possibly regrowing.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/stable-mulch.png
98,gooey-mulch,mulch,"Used on a path of soil
:   Plant will regrow after dying 25% more times.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gooey-mulch.png
99,root-fossil,dex-completion,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a lileep.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/root-fossil.png
100,claw-fossil,dex-completion,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive an anorith.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/claw-fossil.png
101,helix-fossil,dex-completion,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive an omanyte.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/helix-fossil.png
102,dome-fossil,dex-completion,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a kabuto.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dome-fossil.png
103,old-amber,dex-completion,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive an aerodactyl.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/old-amber.png
104,armor-fossil,dex-completion,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a shieldon.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/armor-fossil.png
105,skull-fossil,dex-completion,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a cranidos.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/skull-fossil.png
106,rare-bone,loot,Vendor trash.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rare-bone.png
107,shiny-stone,evolution,"Used on a party Pokémon
:   Evolves a minccino into cinccino, a roselia into roserade, or a togetic into togekiss.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shiny-stone.png
108,dusk-stone,evolution,"Used on a party Pokémon
:   Evolves a lampent into chandelure, a misdreavus into mismagius, or a murkrow into honchkrow.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dusk-stone.png
109,dawn-stone,evolution,"Used on a party Pokémon
:   Evolves a male kirlia into gallade or a female snorunt into froslass.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dawn-stone.png
110,oval-stone,evolution,"Held by happiny
:   Holder evolves into chansey when it levels up during the daytime.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/oval-stone.png
111,odd-keystone,dex-completion,"Place in the tower on sinnoh route 209.  Check the stone to encounter a spiritomb, as long as the trainer’s Underground status card counts at least 32 greetings.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/odd-keystone.png
112,adamant-orb,species-specific,"Held by dialga
:   Holder’s dragon- and steel-type moves have 1.2× their usual power.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/adamant-orb.png
113,lustrous-orb,species-specific,"Held by palkia
:   Holder’s dragon- and water-type moves have 1.2× their usual power.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lustrous-orb.png
114,grass-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/grass-mail.png
115,flame-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/flame-mail.png
116,bubble-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bubble-mail.png
117,bloom-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bloom-mail.png
118,tunnel-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tunnel-mail.png
119,steel-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/steel-mail.png
120,heart-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heart-mail.png
121,snow-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/snow-mail.png
122,space-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/space-mail.png
123,air-mail,all-mail,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer’s PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/air-mail.png
